01:59.884  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:00.280  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:00.674  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:01.083  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:01.477  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:01.884  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:02.273  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:02.668  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:03.056  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:03.441  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:03.836  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1010: 13 obs, success=True, 2.1 min
02:04.515  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:04.910  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:05.312  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:05.696  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:06.094  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:06.496  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:06.880  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:07.275  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:07.669  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:08.054  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:08.457  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:08.855  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:09.247  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:09.643  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:10.046  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:10.438  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:10.866  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:11.251  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:11.640  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:12.041  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:12.443  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:12.850  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:13.254  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:13.660  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:14.082  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:14.513  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:14.962  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:15.385  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1011: 14 obs, success=True, 2.3 min
02:16.111  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:16.505  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:16.985  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:17.405  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:17.890  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:18.323  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:18.760  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:19.223  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:19.739  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:20.203  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:20.646  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:21.071  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
