01:55.471  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:55.866  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:56.287  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:56.674  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:57.082  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:57.473  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:57.866  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:58.270  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:58.678  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:59.078  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:59.482  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:59.867  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:00.262  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:00.657  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:01.062  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:01.458  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:01.867  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:02.258  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:02.640  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:03.037  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:03.455  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:03.856  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
grasp opaque seed 1010: 13 obs, success=True, 2.1 min
02:04.494  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:04.900  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:05.330  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:05.712  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:06.113  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:06.477  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:06.864  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:07.257  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:07.651  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:08.039  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:08.438  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:08.836  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:09.230  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:09.624  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:10.028  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:10.422  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:10.833  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:11.230  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:11.628  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:12.024  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:12.432  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:12.822  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:13.236  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:13.628  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:14.061  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:14.502  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:14.946  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:15.364  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
grasp opaque seed 1011: 14 obs, success=True, 2.3 min
02:16.093  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:16.481  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:16.962  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:17.390  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:17.870  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:18.322  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:18.740  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:19.223  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:19.726  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:20.200  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:20.626  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:21.053  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:21.473  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:21.879  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:22.280  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:22.679  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:23.107  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:23.525  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:23.948  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:24.340  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:24.756  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:25.162  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:25.568  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:25.971  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:26.387  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:26.776  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:27.178  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:27.569  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
grasp opaque seed 1012: 14 obs, success=True, 2.5 min
02:28.240  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:28.645  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:29.045  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:29.432  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:29.827  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:30.212  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:30.633  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:31.060  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:31.474  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:31.882  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:32.276  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:32.681  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:33.085  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
02:33.480  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
