04:38.917  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:41.182  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:41.984  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:42.660  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:43.320  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:43.973  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:44.748  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:45.297  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:45.821  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:48.657  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:49.643  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:53.083  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:54.439  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:56.026  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:57.368  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:58.114  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:01.917  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:02.723  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:04.877  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:06.384  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:06.987  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:07.422  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:08.046  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:08.717  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:09.493  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:11.030  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:11.664  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:12.972  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:13.806  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:14.436  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:15.451  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:18.681  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:20.903  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:21.639  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:22.270  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:24.059  render           | Saved: '/tmp/clearvla_render_glass_front.png'
[glass] 161/900 episodes, 292 frames, 5.4 min, 0.90 fps
05:25.875  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:26.519  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:27.038  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:27.686  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:28.383  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:29.185  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:29.777  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:30.785  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:31.697  render           | Saved: '/tmp/clearvla_render_glass_front.png'
