04:54.474  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:56.152  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:57.367  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
04:58.111  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:01.868  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:02.742  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:05.832  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:06.501  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:07.123  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:07.754  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:08.535  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:09.399  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:10.866  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:11.624  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:12.978  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:13.822  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:14.436  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:15.542  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:18.695  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:20.901  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:21.575  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
[opaque] 161/900 episodes, 292 frames, 5.3 min, 0.91 fps
05:24.327  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:24.793  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:25.265  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:25.970  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:26.624  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:27.253  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:27.843  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:28.489  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:29.403  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:30.236  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:30.924  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:31.735  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:32.602  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:33.469  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:34.420  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:35.887  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:36.805  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:37.644  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:38.412  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:39.082  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:39.741  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:40.314  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:40.894  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:42.572  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:43.346  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:45.401  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:46.086  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:46.948  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:48.193  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:49.455  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:50.552  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:51.278  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:52.079  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:53.194  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:53.876  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:55.376  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:55.980  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
05:56.487  render           | Saved: '/tmp/clearvla_render_opaque_front.png'
