04:44.752  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
[glass] 11/900 episodes, 287 frames, 4.7 min, 1.01 fps
04:46.526  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
04:48.614  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
04:49.643  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
04:53.009  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
04:54.536  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
04:56.244  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
04:57.367  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
04:58.129  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:01.951  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:02.773  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:05.674  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:06.484  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:07.103  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:07.731  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:08.539  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:09.423  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:11.007  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:11.664  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:12.972  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:13.839  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:14.448  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:15.487  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:18.753  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:20.855  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:21.638  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:22.289  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:24.061  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:25.799  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:26.403  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:26.912  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:27.596  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:28.211  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:29.111  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:29.777  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:30.783  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:31.697  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:32.612  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:33.425  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:34.422  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:35.875  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:36.804  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:37.645  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:38.432  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:39.224  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:39.946  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:40.457  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:41.030  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:42.940  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:43.490  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:43.946  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:44.431  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:44.890  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:45.480  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:47.562  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:49.455  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:50.558  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:51.262  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:52.078  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:53.200  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:53.880  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:55.470  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:56.054  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:56.643  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:57.187  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:57.742  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:58.378  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
05:59.514  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:00.193  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:00.765  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:01.396  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:03.019  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:03.471  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:03.880  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:04.520  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:05.146  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:05.821  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:06.262  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:07.405  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:07.931  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:08.642  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:11.752  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:12.730  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:13.481  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:14.094  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:14.762  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:15.391  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:15.942  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:16.411  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:16.964  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:17.635  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:19.233  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:20.067  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:21.324  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:22.090  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:22.628  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:23.759  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:24.410  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:25.424  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
06:26.111  render           | Saved: '/tmp/clearvla_render_glass_wrist.png'
