train 27716 frames / 810 episodes; val 3094 frames
params: 30.281M
/Users/yogyamehrotra/Desktop/ClearVLA/data/dataset.py:64: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  vis = torch.from_numpy(np.asarray(self._mm(t, m)[row]))                                   # (196,768) fp16
{'step': 11900, 'loss': 0.04505878018215299, 'lr': 8.945138530905377e-05, 'gn': 0.9571676850318909, 'it_s': 2.694521583378833}
{'step': 12000, 'loss': 0.048725189939141274, 'lr': 8.926506812661105e-05, 'gn': 0.7354225516319275, 'it_s': 2.695067825811716}
  val 0.0291
{'step': 12100, 'loss': 0.04583942249417305, 'lr': 8.907734244142475e-05, 'gn': 0.8876927495002747, 'it_s': 2.694553055299364}
{'step': 12200, 'loss': 0.04758012562990189, 'lr': 8.88882159701625e-05, 'gn': 0.6668248176574707, 'it_s': 2.6953678485524746}
{'step': 12300, 'loss': 0.0461305438913405, 'lr': 8.869769648707278e-05, 'gn': 0.7994687557220459, 'it_s': 2.6957553315337757}
{'step': 12400, 'loss': 0.04778583575040102, 'lr': 8.850579182366532e-05, 'gn': 0.9974836707115173, 'it_s': 2.695073849953065}
{'step': 12500, 'loss': 0.04950328290462494, 'lr': 8.83125098683892e-05, 'gn': 0.7213470339775085, 'it_s': 2.6946000706829776}
{'step': 12600, 'loss': 0.05081712240353227, 'lr': 8.811785856630858e-05, 'gn': 0.9551931023597717, 'it_s': 2.6948535302987384}
{'step': 12700, 'loss': 0.04971389852464199, 'lr': 8.792184591877608e-05, 'gn': 0.6538459658622742, 'it_s': 2.6955014886817}
{'step': 12800, 'loss': 0.049092047996819016, 'lr': 8.772447998310388e-05, 'gn': 0.6946702599525452, 'it_s': 2.6960601551052306}
{'step': 12900, 'loss': 0.048830187506973745, 'lr': 8.752576887223262e-05, 'gn': 0.6475057005882263, 'it_s': 2.6964128911812337}
{'step': 13000, 'loss': 0.0495474586635828, 'lr': 8.732572075439774e-05, 'gn': 1.0080642700195312, 'it_s': 2.696607363924692}
  val 0.0340
{'step': 13100, 'loss': 0.0545026527158916, 'lr': 8.712434385279384e-05, 'gn': 0.8860960006713867, 'it_s': 2.6968088232172707}
{'step': 13200, 'loss': 0.049076334927231076, 'lr': 8.69216464452366e-05, 'gn': 0.80373215675354, 'it_s': 2.697108022957127}
{'step': 13300, 'loss': 0.04949008844792843, 'lr': 8.671763686382253e-05, 'gn': 0.7517383098602295, 'it_s': 2.697097666536634}
{'step': 13400, 'loss': 0.050676462948322294, 'lr': 8.651232349458648e-05, 'gn': 1.0231062173843384, 'it_s': 2.697260589693614}
{'step': 13500, 'loss': 0.05308330100029707, 'lr': 8.630571477715689e-05, 'gn': 0.925800621509552, 'it_s': 2.697525897022613}
{'step': 13600, 'loss': 0.05157395031303167, 'lr': 8.609781920440892e-05, 'gn': 0.7983457446098328, 'it_s': 2.6977754298380727}
{'step': 13700, 'loss': 0.05235890582203865, 'lr': 8.588864532211527e-05, 'gn': 0.8928254246711731, 'it_s': 2.697896540547448}
{'step': 13800, 'loss': 0.05026722580194473, 'lr': 8.567820172859498e-05, 'gn': 0.6906079053878784, 'it_s': 2.698123027891455}
{'step': 13900, 'loss': 0.047261311989277605, 'lr': 8.546649707435993e-05, 'gn': 0.8917518258094788, 'it_s': 2.698711579978947}
{'step': 14000, 'loss': 0.045977995283901694, 'lr': 8.525354006175926e-05, 'gn': 0.6791734099388123, 'it_s': 2.6996392231644206}
  val 0.0358
{'step': 14100, 'loss': 0.04716626361012459, 'lr': 8.503933944462166e-05, 'gn': 0.7743237614631653, 'it_s': 2.6996462317306142}
{'step': 14200, 'loss': 0.046078920401632785, 'lr': 8.482390402789554e-05, 'gn': 0.8587863445281982, 'it_s': 2.7000439776460996}
{'step': 14300, 'loss': 0.04304274152964353, 'lr': 8.460724266728707e-05, 'gn': 0.8441693782806396, 'it_s': 2.700302016338508}
{'step': 14400, 'loss': 0.048373958449810746, 'lr': 8.438936426889618e-05, 'gn': 0.8504353761672974, 'it_s': 2.7012832022722195}
{'step': 14500, 'loss': 0.04931758467108011, 'lr': 8.417027778885049e-05, 'gn': 1.433361530303955, 'it_s': 2.7020553557339864}
{'step': 14600, 'loss': 0.05012090194970369, 'lr': 8.394999223293704e-05, 'gn': 0.835960865020752, 'it_s': 2.7026151226550748}
{'step': 14700, 'loss': 0.054596792198717596, 'lr': 8.372851665623225e-05, 'gn': 1.0008188486099243, 'it_s': 2.7028172318289436}
{'step': 14800, 'loss': 0.051416126154363154, 'lr': 8.350586016272965e-05, 'gn': 0.8292222023010254, 'it_s': 2.7034429576701835}
{'step': 14900, 'loss': 0.05436857657507062, 'lr': 8.328203190496556e-05, 'gn': 1.0756384134292603, 'it_s': 2.703963364803239}
{'step': 15000, 'loss': 0.05682839278131723, 'lr': 8.305704108364301e-05, 'gn': 0.8921595811843872, 'it_s': 2.70140097851149}
  val 0.0376
{'step': 15100, 'loss': 0.05305397018790245, 'lr': 8.283089694725341e-05, 'gn': 1.133745789527893, 'it_s': 2.697557595824205}
{'step': 15200, 'loss': 0.05590540423989296, 'lr': 8.26036087916965e-05, 'gn': 0.9283275008201599, 'it_s': 2.694236763560632}
{'step': 15300, 'loss': 0.054251731187105176, 'lr': 8.23751859598981e-05, 'gn': 1.1035555601119995, 'it_s': 2.6902842351918657}
{'step': 15400, 'loss': 0.05361014448106289, 'lr': 8.214563784142614e-05, 'gn': 1.0251842737197876, 'it_s': 2.6869014117785124}
{'step': 15500, 'loss': 0.05510003503412008, 'lr': 8.191497387210472e-05, 'gn': 1.412559986114502, 'it_s': 2.6841348836101018}
{'step': 15600, 'loss': 0.05808565121144056, 'lr': 8.168320353362616e-05, 'gn': 0.8723157048225403, 'it_s': 2.6814081060060966}
{'step': 15700, 'loss': 0.058406101055443284, 'lr': 8.14503363531613e-05, 'gn': 2.2381672859191895, 'it_s': 2.6787105789711756}
{'step': 15800, 'loss': 0.05936148092150688, 'lr': 8.121638190296783e-05, 'gn': 0.9343844652175903, 'it_s': 2.6759776362706065}
{'step': 15900, 'loss': 0.059406950809061526, 'lr': 8.098134979999689e-05, 'gn': 1.0015382766723633, 'it_s': 2.673488705038571}
{'step': 16000, 'loss': 0.05969867564737797, 'lr': 8.074524970549764e-05, 'gn': 1.079691767692566, 'it_s': 2.6707680960325897}
  val 0.0447
{'step': 16100, 'loss': 0.058896652683615686, 'lr': 8.050809132462025e-05, 'gn': 0.8422465920448303, 'it_s': 2.6695322528129903}
{'step': 16200, 'loss': 0.05830059748142958, 'lr': 8.026988440601687e-05, 'gn': 0.840920627117157, 'it_s': 2.670078150159646}
{'step': 16300, 'loss': 0.05701231935992837, 'lr': 8.003063874144092e-05, 'gn': 1.0341432094573975, 'it_s': 2.6707014444939947}
{'step': 16400, 'loss': 0.059124366492033, 'lr': 7.979036416534461e-05, 'gn': 1.0512332916259766, 'it_s': 2.671176289665252}
{'step': 16500, 'loss': 0.060660739466547965, 'lr': 7.954907055447469e-05, 'gn': 1.175036072731018, 'it_s': 2.6720278136094557}
{'step': 16600, 'loss': 0.056402264833450316, 'lr': 7.930676782746642e-05, 'gn': 0.8659040331840515, 'it_s': 2.6734027803685723}
{'step': 16700, 'loss': 0.057766259014606476, 'lr': 7.906346594443584e-05, 'gn': 1.0786646604537964, 'it_s': 2.6747218150711873}
{'step': 16800, 'loss': 0.058264605067670346, 'lr': 7.881917490657043e-05, 'gn': 1.5297116041183472, 'it_s': 2.676031384089473}
{'step': 16900, 'loss': 0.05646315958350897, 'lr': 7.857390475571794e-05, 'gn': 0.9671404957771301, 'it_s': 2.677332509731714}
{'step': 17000, 'loss': 0.05747075408697128, 'lr': 7.832766557397364e-05, 'gn': 1.2839933633804321, 'it_s': 2.6787147965455262}
  val 0.0379
{'step': 17100, 'loss': 0.06089509569108486, 'lr': 7.808046748326579e-05, 'gn': 1.6671408414840698, 'it_s': 2.679630017620011}
{'step': 17200, 'loss': 0.05526062648743391, 'lr': 7.78323206449397e-05, 'gn': 1.278272032737732, 'it_s': 2.6809457135636183}
{'step': 17300, 'loss': 0.05283027233555913, 'lr': 7.758323525934e-05, 'gn': 0.8951886296272278, 'it_s': 2.6822887336686314}
{'step': 17400, 'loss': 0.05535576608031988, 'lr': 7.733322156539126e-05, 'gn': 1.161697506904602, 'it_s': 2.6836096745272884}
{'step': 17500, 'loss': 0.054073144868016246, 'lr': 7.708228984017721e-05, 'gn': 0.977342963218689, 'it_s': 2.6849119738473273}
{'step': 17600, 'loss': 0.05556743245571852, 'lr': 7.683045039851824e-05, 'gn': 0.8834017515182495, 'it_s': 2.686174468200274}
